dataset,method,sample_pct,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,pred_pf_size_mean,true_pf_size_first
auto93,ActiveLearning,5,0.2192,0.1538,0.2208,0.0,0.6923,0.1741,0.0977,0.2371,0.0,1.0,0.2533,0.2363,0.0959,0.1322,0.4712,0.1019,0.0661,0.0893,0.0075,0.3424,30.65,13
auto93,ActiveLearning,10,0.1731,0.1923,0.127,0.0,0.4615,0.1795,0.1214,0.174,0.0,0.5,0.2045,0.2015,0.0552,0.1157,0.3199,0.1059,0.0792,0.088,0.0085,0.3667,24.2,13
auto93,ActiveLearning,20,0.2269,0.2308,0.172,0.0,0.6923,0.2379,0.1297,0.2561,0.0,1.0,0.2091,0.1865,0.0612,0.133,0.3467,0.0818,0.0872,0.0549,0.003,0.2249,18.3,13
auto93,ActiveLearning,30,0.2615,0.2692,0.1586,0.0,0.5385,0.2078,0.1745,0.1883,0.0,0.8333,0.1506,0.1455,0.0344,0.1027,0.2515,0.0584,0.0501,0.0326,0.0084,0.1436,21.05,13
auto93,Clustering,5,0.4269,0.3846,0.1664,0.0769,0.6923,0.1333,0.1384,0.0371,0.0294,0.1957,0.1776,0.1767,0.0287,0.1376,0.2507,0.1435,0.1519,0.0776,0.0027,0.3316,40.75,13
auto93,Clustering,10,0.2654,0.2692,0.1683,0.0,0.4615,0.212,0.1384,0.2283,0.0,1.0,0.169,0.1306,0.0963,0.1092,0.4712,0.0642,0.0453,0.0547,0.0024,0.1531,26.5,13
auto93,Clustering,20,0.2231,0.2308,0.0701,0.0769,0.3846,0.3157,0.2792,0.1735,0.08,0.75,0.1715,0.1573,0.0571,0.1136,0.3429,0.0824,0.0925,0.0361,0.0032,0.1386,11.4,13
auto93,Clustering,30,0.3,0.3077,0.0745,0.2308,0.4615,0.3902,0.3923,0.078,0.2308,0.5556,0.1375,0.1369,0.0142,0.1123,0.1784,0.0797,0.0683,0.0259,0.0086,0.1103,10.1,13
auto93,Diversity,5,0.1,0.0769,0.097,0.0,0.3077,0.1805,0.2,0.1631,0.0,0.5,0.2376,0.223,0.0793,0.1311,0.4113,0.0915,0.1003,0.0376,0.0029,0.1511,10.95,13
auto93,Diversity,10,0.1962,0.1538,0.1013,0.0,0.3846,0.1945,0.1584,0.1552,0.0,0.75,0.1823,0.1546,0.0525,0.1148,0.2793,0.0917,0.1078,0.0387,0.0135,0.1388,16.45,13
auto93,Diversity,20,0.3885,0.3846,0.1568,0.1538,0.6154,0.4044,0.4189,0.1517,0.1818,0.6667,0.1362,0.1369,0.0153,0.1142,0.1683,0.0823,0.1036,0.0379,0.0067,0.1233,13.25,13
auto93,Diversity,30,0.5308,0.5385,0.0896,0.3846,0.6923,0.7636,0.7778,0.1434,0.4615,1.0,0.1363,0.1372,0.0108,0.1176,0.1553,0.0945,0.1156,0.0442,0.0012,0.1272,9.2,13
auto93,LHS,5,0.1731,0.0769,0.1815,0.0,0.6154,0.0835,0.0605,0.1188,0.0,0.5,0.2912,0.285,0.0689,0.1658,0.4062,0.1505,0.1338,0.1066,0.0151,0.3413,40.55,13
auto93,LHS,10,0.1654,0.0769,0.1524,0.0,0.5385,0.2162,0.1339,0.2368,0.0,1.0,0.2612,0.2624,0.0679,0.1624,0.3915,0.1204,0.1064,0.069,0.0113,0.2538,17.65,13
auto93,LHS,20,0.2231,0.1538,0.122,0.0769,0.6154,0.3124,0.2111,0.2401,0.0625,1.0,0.2063,0.185,0.0592,0.136,0.3315,0.0763,0.0784,0.0468,0.0024,0.1657,14.1,13
auto93,LHS,30,0.2385,0.2308,0.1516,0.0769,0.5385,0.2615,0.1926,0.1845,0.05,0.8333,0.1924,0.1758,0.0433,0.1458,0.2697,0.0551,0.0542,0.0343,0.002,0.1243,15.2,13
auto93,NSGA-II,5,0.0962,0.0769,0.0784,0.0,0.3077,0.2885,0.2,0.257,0.0,0.8,0.1555,0.1455,0.0316,0.1128,0.2187,0.3052,0.3583,0.1045,0.0165,0.4122,5.05,13
auto93,NSGA-II,10,0.3231,0.3077,0.0986,0.1538,0.5385,0.5961,0.5714,0.186,0.3333,1.0,0.0883,0.087,0.0193,0.0457,0.1248,0.1995,0.2029,0.0692,0.0292,0.3083,7.15,13
auto93,NSGA-II,20,0.5423,0.5385,0.1043,0.3077,0.6923,0.7334,0.7778,0.1503,0.4,1.0,0.0481,0.0457,0.021,0.0125,0.088,0.0967,0.0611,0.0844,0.0001,0.2431,9.8,13
auto93,NSGA-II,30,0.8808,0.9231,0.0727,0.7692,1.0,0.9501,1.0,0.077,0.7857,1.0,0.0102,0.0062,0.0104,0.0,0.0306,0.0345,0.0096,0.0565,0.0001,0.159,12.1,13
auto93,NoModel,5,0.0692,0.0769,0.0656,0.0,0.2308,0.275,0.3333,0.2636,0.0,1.0,0.196,0.1818,0.057,0.1256,0.3055,0.3645,0.371,0.1116,0.1668,0.6069,3.7,13
auto93,NoModel,10,0.0769,0.0769,0.0706,0.0,0.2308,0.2751,0.2,0.2736,0.0,0.75,0.1779,0.1674,0.0394,0.1213,0.2749,0.3433,0.3509,0.0979,0.0565,0.544,4.2,13
auto93,NoModel,20,0.1846,0.1538,0.0979,0.0769,0.4615,0.4188,0.4,0.2001,0.1111,0.8571,0.1168,0.1157,0.0318,0.0571,0.206,0.2368,0.2246,0.0816,0.0601,0.3915,5.85,13
auto93,NoModel,30,0.3192,0.3846,0.1007,0.1538,0.4615,0.5898,0.5903,0.158,0.3333,0.8571,0.0821,0.0785,0.0236,0.0481,0.1319,0.1796,0.1722,0.0668,0.0124,0.3011,7.05,13
auto93,Random,5,0.2231,0.2308,0.1979,0.0,0.6923,0.1066,0.0797,0.0847,0.0,0.3,0.2161,0.1763,0.0903,0.131,0.4712,0.1094,0.0998,0.0812,0.0042,0.3611,31.6,13
auto93,Random,10,0.2846,0.2308,0.1695,0.0,0.6154,0.217,0.2183,0.1342,0.0,0.6667,0.1705,0.1573,0.0447,0.1113,0.2614,0.0688,0.0666,0.0513,0.0069,0.1905,18.6,13
auto93,Random,20,0.3962,0.3462,0.1544,0.1538,0.7692,0.404,0.3693,0.1648,0.1667,0.8,0.1426,0.1463,0.0556,0.045,0.2829,0.0807,0.0825,0.0504,0.0152,0.178,14.0,13
auto93,Random,30,0.3808,0.3846,0.0982,0.2308,0.5385,0.4296,0.4306,0.1537,0.1923,0.8333,0.1385,0.1416,0.0384,0.0692,0.2102,0.0745,0.0886,0.0388,0.0067,0.1235,12.95,13
auto93,SWAY,5,0.1385,0.1538,0.0641,0.0,0.2308,0.4535,0.45,0.1928,0.0,0.75,0.1682,0.1782,0.0316,0.0853,0.2039,0.2845,0.2568,0.0993,0.079,0.476,4.1,13
auto93,SWAY,10,0.1846,0.1538,0.1099,0.0,0.3846,0.4908,0.5,0.2247,0.0,0.75,0.1583,0.1531,0.0432,0.0945,0.2602,0.2447,0.1989,0.1595,0.0416,0.5958,4.6,13
auto93,SWAY,20,0.3423,0.3462,0.1043,0.1538,0.4615,0.6922,0.7321,0.1339,0.3333,0.8571,0.1203,0.1195,0.0277,0.0657,0.1784,0.1416,0.1646,0.0891,0.0326,0.2957,6.4,13
auto93,SWAY,30,0.6231,0.5769,0.1365,0.4615,0.8462,0.8761,0.875,0.086,0.75,1.0,0.0612,0.0823,0.0321,0.0093,0.0909,0.0712,0.0302,0.0796,0.0018,0.2445,9.2,13
auto93,Sobol,5,0.1654,0.1538,0.144,0.0,0.3846,0.0968,0.0667,0.126,0.0,0.5,0.2981,0.2886,0.0663,0.1916,0.425,0.13,0.1213,0.0684,0.0049,0.2698,35.3,13
auto93,Sobol,10,0.1692,0.1538,0.1133,0.0,0.3846,0.1349,0.0897,0.1401,0.0,0.5,0.216,0.2028,0.0536,0.1574,0.3576,0.1338,0.1283,0.0686,0.017,0.2481,21.3,13
auto93,Sobol,20,0.2269,0.1923,0.1157,0.0769,0.5385,0.2999,0.2053,0.2073,0.0667,0.75,0.2085,0.1931,0.0543,0.1494,0.3315,0.0805,0.0788,0.0383,0.0108,0.1382,15.4,13
auto93,Sobol,30,0.2692,0.2308,0.1309,0.0769,0.5385,0.3016,0.2225,0.2196,0.0816,1.0,0.1712,0.1723,0.0283,0.1262,0.2267,0.0528,0.0556,0.0316,0.0023,0.1182,16.95,13
auto93,Stratified,5,0.3077,0.3077,0.2287,0.0,0.7692,0.2097,0.1151,0.2373,0.0,1.0,0.2186,0.1773,0.1099,0.1198,0.4712,0.1058,0.1263,0.0459,0.0266,0.17,32.25,13
auto93,Stratified,10,0.3308,0.3077,0.16,0.0,0.6923,0.2044,0.2116,0.0724,0.0,0.3,0.1476,0.1468,0.039,0.0621,0.2537,0.0762,0.0878,0.0512,0.0001,0.1971,20.9,13
auto93,Stratified,20,0.2885,0.3077,0.1318,0.0769,0.5385,0.3311,0.3022,0.1664,0.1333,0.75,0.1603,0.1578,0.0372,0.0551,0.2172,0.0909,0.0919,0.0318,0.0331,0.1347,13.05,13
auto93,Stratified,30,0.4115,0.3846,0.1396,0.1538,0.8462,0.3797,0.3868,0.1256,0.1364,0.625,0.1362,0.1529,0.0415,0.0364,0.179,0.0822,0.0989,0.0409,0.0079,0.1306,15.35,13
coc1000,ActiveLearning,5,0.2385,0.2326,0.1604,0.0417,0.5278,0.2139,0.2061,0.0531,0.1133,0.3226,0.2988,0.2943,0.0272,0.2486,0.3539,0.3097,0.3086,0.0618,0.1963,0.4086,171.85,144
coc1000,ActiveLearning,10,0.226,0.2257,0.0944,0.0625,0.4167,0.2585,0.2329,0.0786,0.1481,0.4146,0.2446,0.2456,0.0157,0.2095,0.2663,0.21,0.212,0.0442,0.1186,0.2933,136.65,144
coc1000,ActiveLearning,20,0.2524,0.2431,0.1011,0.1111,0.4861,0.3173,0.3221,0.0597,0.2278,0.4603,0.184,0.1827,0.0116,0.1598,0.2042,0.1204,0.1191,0.0269,0.067,0.1865,117.2,144
coc1000,ActiveLearning,30,0.2236,0.2118,0.0554,0.1389,0.4028,0.3309,0.3317,0.0639,0.2231,0.4571,0.1598,0.1572,0.0166,0.1309,0.1956,0.096,0.0894,0.0308,0.0434,0.1536,101.35,144
coc1000,Clustering,5,0.3281,0.3576,0.1389,0.125,0.6458,0.2188,0.2061,0.0475,0.1574,0.3418,0.2952,0.2913,0.0204,0.259,0.3251,0.3113,0.3137,0.0679,0.1918,0.4371,232.3,144
coc1000,Clustering,10,0.2115,0.1979,0.0648,0.1181,0.3681,0.3007,0.2946,0.064,0.19,0.4267,0.2283,0.2286,0.0127,0.2057,0.2614,0.1852,0.1868,0.0403,0.1117,0.2711,108.15,144
coc1000,Clustering,20,0.2062,0.2014,0.0368,0.1528,0.3056,0.3621,0.3435,0.0669,0.2529,0.5439,0.1719,0.1711,0.0084,0.1598,0.187,0.1142,0.1167,0.0215,0.0801,0.1446,84.85,144
coc1000,Clustering,30,0.2802,0.2778,0.0384,0.2153,0.3611,0.4704,0.4376,0.08,0.3924,0.7143,0.138,0.1401,0.0151,0.1078,0.1662,0.0655,0.0633,0.0194,0.0358,0.1095,86.6,144
coc1000,Diversity,5,0.1667,0.066,0.1794,0.0347,0.5347,0.3175,0.2946,0.1059,0.194,0.5556,0.2883,0.2824,0.0208,0.2497,0.3374,0.2376,0.2239,0.0536,0.1655,0.3761,100.65,144
coc1000,Diversity,10,0.1115,0.1076,0.0244,0.0764,0.1944,0.3705,0.3704,0.0535,0.2817,0.4595,0.2215,0.2199,0.0087,0.2095,0.2365,0.1577,0.1478,0.0312,0.1166,0.219,44.05,144
coc1000,Diversity,20,0.2288,0.2292,0.0208,0.1944,0.2639,0.515,0.5114,0.0454,0.4143,0.5938,0.1567,0.1569,0.0115,0.1395,0.1791,0.0986,0.0977,0.0172,0.0675,0.1289,64.15,144
coc1000,Diversity,30,0.3497,0.3472,0.0148,0.3264,0.3889,0.6099,0.6025,0.0394,0.5393,0.6849,0.1176,0.1181,0.006,0.1059,0.1289,0.0785,0.08,0.012,0.0397,0.0938,82.8,144
coc1000,LHS,5,0.284,0.2465,0.1096,0.1458,0.5417,0.233,0.2257,0.0466,0.1688,0.3243,0.2751,0.2763,0.0168,0.2415,0.3114,0.2875,0.2895,0.0685,0.1838,0.3907,186.0,144
coc1000,LHS,10,0.2378,0.2465,0.0754,0.1319,0.3611,0.2952,0.2979,0.0528,0.2039,0.3895,0.2184,0.2173,0.0167,0.1946,0.2533,0.1859,0.1841,0.032,0.1359,0.241,117.8,144
coc1000,LHS,20,0.2826,0.2604,0.0603,0.2014,0.3819,0.3817,0.3655,0.0566,0.2821,0.4762,0.1626,0.1643,0.0084,0.1452,0.1733,0.1062,0.1032,0.0235,0.0636,0.152,110.35,144
coc1000,LHS,30,0.3312,0.3333,0.0351,0.2639,0.3889,0.4935,0.492,0.0682,0.3605,0.6173,0.1297,0.1297,0.0096,0.1138,0.1461,0.071,0.0684,0.0183,0.0445,0.1059,98.05,144
coc1000,NSGA-II,5,0.1312,0.125,0.0329,0.0833,0.2014,0.3846,0.36,0.1041,0.24,0.6364,0.1958,0.1981,0.0146,0.167,0.2183,0.1241,0.1208,0.0441,0.052,0.2202,49.35,144
coc1000,NSGA-II,10,0.3038,0.2986,0.0369,0.2361,0.375,0.5312,0.535,0.1029,0.382,0.7536,0.1251,0.1225,0.0124,0.1071,0.1546,0.0598,0.055,0.0225,0.0278,0.0979,83.85,144
coc1000,NSGA-II,20,0.5944,0.6007,0.0311,0.5347,0.6389,0.7419,0.7409,0.0561,0.6393,0.8224,0.0625,0.063,0.0061,0.0543,0.0744,0.0209,0.0202,0.0084,0.0048,0.0355,115.9,144
coc1000,NSGA-II,30,0.9059,0.9028,0.0238,0.8472,0.9514,0.9521,0.9554,0.0331,0.86,1.0,0.0139,0.0124,0.0049,0.0048,0.0256,0.0051,0.0041,0.0044,0.0,0.0165,137.15,144
coc1000,NoModel,5,0.0385,0.0382,0.0169,0.0139,0.0764,0.1889,0.1786,0.0924,0.0645,0.4583,0.2605,0.2606,0.0175,0.2314,0.3099,0.2519,0.2368,0.0664,0.1459,0.3877,30.05,144
coc1000,NoModel,10,0.1024,0.1042,0.0188,0.0625,0.1319,0.33,0.3297,0.073,0.1957,0.4737,0.2069,0.2062,0.0138,0.185,0.2382,0.1575,0.1596,0.0426,0.0978,0.2387,45.45,144
coc1000,NoModel,20,0.2028,0.2014,0.0229,0.1667,0.2431,0.4376,0.4352,0.0598,0.3452,0.5738,0.1565,0.1535,0.0103,0.1447,0.18,0.0938,0.0929,0.0197,0.0563,0.1319,67.3,144
coc1000,NoModel,30,0.3,0.2986,0.0315,0.2431,0.3681,0.5168,0.5191,0.0763,0.3804,0.6471,0.1215,0.1212,0.0099,0.1048,0.1415,0.0597,0.0577,0.0215,0.0276,0.0966,84.5,144
coc1000,Random,5,0.2677,0.2917,0.1182,0.0417,0.4306,0.2166,0.2035,0.0565,0.1356,0.3485,0.2834,0.2808,0.0212,0.2357,0.3216,0.2749,0.2871,0.0473,0.1891,0.3511,190.5,144
coc1000,Random,10,0.2247,0.2188,0.1126,0.0764,0.4931,0.2911,0.2774,0.0815,0.1532,0.4324,0.2279,0.2282,0.0118,0.1975,0.244,0.1957,0.1906,0.0432,0.124,0.2778,122.55,144
coc1000,Random,20,0.2389,0.2292,0.0434,0.1736,0.3472,0.4192,0.4285,0.0819,0.2743,0.5714,0.1689,0.168,0.0104,0.1506,0.191,0.1048,0.1132,0.0284,0.0531,0.1671,85.05,144
coc1000,Random,30,0.3396,0.3299,0.0579,0.2639,0.4931,0.4959,0.4875,0.0789,0.3497,0.6548,0.1319,0.1313,0.013,0.109,0.1552,0.0757,0.0736,0.0175,0.0518,0.1134,100.8,144
coc1000,SWAY,5,0.0517,0.0556,0.0193,0.0139,0.0764,0.3703,0.3875,0.155,0.0909,0.6154,0.2814,0.2786,0.0214,0.2458,0.3236,0.2222,0.2188,0.0631,0.1032,0.3243,20.85,144
coc1000,SWAY,10,0.0892,0.0833,0.0323,0.0417,0.1458,0.3883,0.3912,0.1506,0.1875,0.64,0.2309,0.2313,0.015,0.197,0.2555,0.1673,0.1699,0.0417,0.0773,0.2472,33.6,144
coc1000,SWAY,20,0.159,0.1389,0.0441,0.1042,0.25,0.4527,0.4214,0.1239,0.2963,0.7317,0.1815,0.1814,0.0174,0.1514,0.2105,0.1166,0.119,0.0353,0.0643,0.1933,50.95,144
coc1000,SWAY,30,0.3128,0.309,0.0574,0.2222,0.4028,0.5769,0.5624,0.1173,0.3656,0.7945,0.1252,0.1231,0.0123,0.1067,0.1551,0.0602,0.0598,0.0242,0.0221,0.1084,78.6,144
coc1000,Sobol,5,0.2569,0.2431,0.0915,0.125,0.4236,0.2198,0.2159,0.0493,0.1469,0.3193,0.2775,0.2761,0.0184,0.2458,0.3115,0.2729,0.2781,0.0693,0.147,0.4088,178.7,144
coc1000,Sobol,10,0.2628,0.2708,0.0789,0.1042,0.4097,0.2703,0.2732,0.0574,0.1724,0.3681,0.2256,0.2252,0.0237,0.1818,0.2777,0.1918,0.1821,0.0398,0.1476,0.291,143.95,144
coc1000,Sobol,20,0.2521,0.2396,0.0533,0.1736,0.3542,0.3932,0.3969,0.0488,0.2809,0.4824,0.1647,0.1638,0.0145,0.1439,0.1941,0.1099,0.1061,0.0267,0.0569,0.1707,92.9,144
coc1000,Sobol,30,0.334,0.3264,0.0295,0.2917,0.3958,0.4707,0.4634,0.0701,0.3433,0.6333,0.1299,0.1295,0.0096,0.1098,0.1469,0.0737,0.0768,0.0177,0.0458,0.1045,103.65,144
coc1000,Stratified,5,0.2774,0.2674,0.1139,0.0347,0.4444,0.2228,0.2075,0.0506,0.1429,0.3276,0.2829,0.2759,0.0223,0.2538,0.3499,0.3024,0.2933,0.033,0.2377,0.3558,184.15,144
coc1000,Stratified,10,0.2326,0.2257,0.0859,0.0833,0.375,0.2833,0.2596,0.079,0.1923,0.45,0.2207,0.2214,0.0151,0.1969,0.2476,0.1787,0.1787,0.039,0.1291,0.2641,131.2,144
coc1000,Stratified,20,0.2552,0.2326,0.0747,0.1528,0.4097,0.3983,0.3855,0.0628,0.3036,0.55,0.1698,0.1689,0.0114,0.1496,0.1875,0.108,0.1017,0.0277,0.0597,0.1694,95.7,144
coc1000,Stratified,30,0.3163,0.3056,0.0582,0.2222,0.4583,0.5211,0.526,0.0613,0.4286,0.6866,0.1389,0.1411,0.0114,0.1194,0.1565,0.0738,0.0729,0.0175,0.0488,0.12,88.2,144
pom3d,ActiveLearning,5,0.05,0.0,0.0699,0.0,0.1429,0.0996,0.0,0.1547,0.0,0.5,0.2227,0.2137,0.049,0.1334,0.3051,0.0299,0.0214,0.0378,0.002,0.1563,6.65,7
pom3d,ActiveLearning,10,0.0429,0.0,0.0938,0.0,0.2857,0.0561,0.0,0.1225,0.0,0.4,0.1738,0.1658,0.0506,0.0498,0.2625,0.0164,0.0167,0.0089,0.0043,0.0345,7.15,7
pom3d,ActiveLearning,20,0.15,0.1429,0.1427,0.0,0.4286,0.1569,0.1292,0.2095,0.0,0.75,0.1268,0.128,0.0668,0.0336,0.2715,0.0324,0.0241,0.0268,0.0019,0.0801,8.6,7
pom3d,ActiveLearning,30,0.1643,0.1429,0.1412,0.0,0.4286,0.1648,0.1429,0.1605,0.0,0.5,0.1055,0.0941,0.0618,0.0247,0.2034,0.026,0.0227,0.0193,0.0004,0.0588,8.75,7
pom3d,Clustering,5,0.0143,0.0,0.044,0.0,0.1429,0.0417,0.0,0.1311,0.0,0.5,0.2222,0.2199,0.0557,0.1012,0.326,0.0364,0.0272,0.0393,0.0019,0.165,4.35,7
pom3d,Clustering,10,0.1,0.1429,0.1047,0.0,0.2857,0.1744,0.1833,0.2083,0.0,0.6667,0.1869,0.1912,0.0499,0.1004,0.2768,0.0272,0.0269,0.016,0.0004,0.0733,5.35,7
pom3d,Clustering,20,0.2429,0.2143,0.1678,0.0,0.5714,0.3604,0.3667,0.2589,0.0,0.75,0.157,0.1655,0.0771,0.0192,0.2578,0.0224,0.0223,0.0164,0.0002,0.0737,6.05,7
pom3d,Clustering,30,0.3857,0.4286,0.1235,0.1429,0.7143,0.4393,0.4643,0.1874,0.1111,0.8333,0.139,0.1542,0.0439,0.0161,0.1837,0.0196,0.0186,0.0085,0.0013,0.0326,6.75,7
pom3d,Diversity,5,0.05,0.0,0.0699,0.0,0.1429,0.0371,0.0,0.0577,0.0,0.1667,0.1952,0.2019,0.0446,0.1286,0.2647,0.0393,0.0405,0.0207,0.0033,0.073,7.9,7
